bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5.2,MSI,rétroéclairé,Chine,1.8,Oui,Oui,8,14.0,WIFI 6E,1.7,1535,INTEL CORE I7,PC Gamer MSI Prestige 15 A12SC-032FR,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.68,1.89,23.37,1920,1080,512,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,399,INTEL CORE I5,"Ordinateur APPLE APPLE Pro 13"" Retina 2013 i5 2.4Ghz 4GB 128GB Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5.2,MSI,rétroéclairé,Chine,2.5,Non,Oui,64,14.0,WIFI 6E,2.9,4489,INTEL CORE I9,PC Gamer MSI Raider GE76 12UH-094FR,Windows,17.3,UHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.7,2.59,28.4,3840,2160,2000,0,0
5,APPLE,standard,Chine,1.333,Non,Non,16,2.0,WIFI 6 (AX),1.8,829,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2015 i7 2.5Ghz 16GB 500GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,512,0,0
5,ASUS,rétroéclairé,Chine,4.9,Non,Oui,16,8.0,WIFI 6 (AX),2.5,1999,AMD RYZEN 9,Ordinateur portable ASUS UM6702RC-M2110W,Windows,17.3,Full HD,Oui,AMD_RADEON,AMD,False,2.0,25.9,39.5,1920,1080,1000,0,0
5,MICROSOFT,standard,Chine,1.7,Non,Non,16,4.0,WIFI 6 (AX),0.9,2189,INTEL CORE I7,PC Hybride MICROSOFT Surface Pro 9 I7/16/512 Platine,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,20.8,28.7,0.93,2880,1920,512,0,0
5,DELL,standard,Chine,2.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.6,367,INTEL CELERON,DELL Latitude 3310 - 8Go - SSD 256Go Reconditionné,Windows,13.3,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
4,LENOVO,standard,Taïwan,2.2,Non,Non,8,2.0,WIFI 5 (N/AC),5.0,289,INTEL CORE I5,Ordinateur portable reconditionné LENOVO ThinkPad X1 Carbon (3rd Gen) - 8Go - SSD Reconditionné,Windows,14.0,HD+,Oui,ORIGINE,ORIGINE,False,22.8,2.39,33.0,1600,900,0,0,0
5,ASUS,standard,Chine,4.1,Non,Non,8,2.0,WIFI 5 (N/AC),1.6,449,INTEL CORE I3,Ordinateur portable ASUS Pack Vivobook S1400EA-EK1697W Noir,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,2.0,21.6,32.5,1920,1080,256,0,0
4.1,ASUS,standard,Chine,1.0,Non,Oui,8,4.0,WIFI 5 (N/AC),1.8,689,INTEL CORE I5,ASUS Ordinateur portable 15.6'' I5 8Go 512Go,Windows,15.6,Full HD,Oui,INTEL_UHD,INTEL,False,36.02,23.49,1.99,1920,1080,512,0,0
5,ASUS,rétroéclairé,Chine,3.3,Non,Oui,16,4.0,WIFI 6 (AX),1.9,1599,INTEL CORE I7,Ordinateur portable ASUS N7600PC-L2042W Numpad,Windows,16.0,OLED,Oui,NVIDIA_GEFORCE,NVIDIA,False,2.0,25.9,36.1,3840,2400,1000,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,379,INTEL CORE I5,"Ordinateur APPLE APPLE Pro 13"" 2012 i5 2.5Ghz 8GB 500GB HDD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,0,500,0
5.2,MSI,rétroéclairé,Chine,2.3,Oui,Oui,16,8.0,WIFI 6E,2.2,2049,INTEL CORE I7,PC Gamer MSI CREATOR Z16 A11UE-213XFR,FreeDOS,17.3,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,1.59,25.6,2560,1600,512,0,0
